"Geography_Code","NM_1504_1_0","NM_1504_1_1","NM_1504_1_10","NM_1504_1_2","NM_1504_1_3","NM_1504_1_4","NM_1504_1_5","NM_1504_1_6","NM_1504_1_7","NM_1504_1_8","NM_1504_1_9"
"N00000110",258,252,0,0,2,2,0,0,2,0,0
"N00000111",356,344,0,0,1,8,0,0,3,0,0
"N00000112",402,393,0,0,4,5,0,0,0,0,0
"N00000113",309,299,0,0,0,7,0,0,3,0,0
"N00000114",318,310,0,0,1,6,0,0,0,0,1
"N00000115",302,290,0,0,5,4,1,0,0,0,2
"N00000116",287,282,0,0,1,4,0,0,0,0,0
"N00000117",168,168,0,0,0,0,0,0,0,0,0
"N00000118",333,314,0,0,0,13,0,0,6,0,0
"N00000119",289,285,0,1,0,0,0,0,0,3,0
"N00000120",323,323,0,0,0,0,0,0,0,0,0
"N00000121",293,290,1,0,2,0,0,0,0,0,0
"N00000122",481,469,0,0,5,1,3,0,2,1,0
"N00000123",351,344,0,1,4,1,0,0,0,1,0
"N00000124",369,365,0,0,0,0,0,0,0,4,0
"N00000125",464,463,0,0,1,0,0,0,0,0,0
"N00000126",481,481,0,0,0,0,0,0,0,0,0
"N00000127",405,400,0,0,3,1,0,0,0,0,1
"N00000128",991,982,1,0,0,8,0,0,0,0,0
"N00000129",346,337,0,0,0,9,0,0,0,0,0
"N00000130",498,489,1,0,4,0,0,0,2,0,2
"N00000131",388,382,0,0,0,0,0,0,0,0,6
"N00000132",366,364,0,0,0,1,0,1,0,0,0
"N00000133",322,320,0,0,0,0,0,0,0,1,1
"N00000134",437,436,1,0,0,0,0,0,0,0,0
"N00000135",312,310,0,0,2,0,0,0,0,0,0
"N00000136",507,498,0,0,6,0,0,0,3,0,0
"N00000137",315,314,0,0,1,0,0,0,0,0,0
"N00000138",464,463,0,0,0,0,0,0,0,1,0
"N00000139",301,296,0,0,1,0,0,4,0,0,0
"N00000140",333,333,0,0,0,0,0,0,0,0,0
"N00000141",443,436,0,1,0,0,0,6,0,0,0
"N00000142",205,205,0,0,0,0,0,0,0,0,0
"N00000143",215,213,0,0,0,0,0,0,0,0,2
"N00000144",228,227,0,0,0,0,0,0,1,0,0
"N00000145",124,124,0,0,0,0,0,0,0,0,0
"N00000146",271,271,0,0,0,0,0,0,0,0,0
"N00000147",227,223,0,0,0,0,0,4,0,0,0
"N00000148",676,673,0,0,1,1,0,0,0,0,1
"N00000149",432,430,0,0,0,0,0,0,0,2,0
"N00000150",365,360,0,0,0,0,0,5,0,0,0
"N00000151",283,282,0,0,0,1,0,0,0,0,0
"N00000152",270,269,0,0,1,0,0,0,0,0,0
"N00000153",250,249,1,0,0,0,0,0,0,0,0
"N00000154",259,257,1,0,0,0,0,0,0,1,0
"N00000155",337,334,0,0,2,1,0,0,0,0,0
"N00000156",301,300,1,0,0,0,0,0,0,0,0
"N00000157",368,365,0,0,0,0,0,0,3,0,0
"N00000158",678,673,4,0,0,0,0,0,0,0,1
"N00000159",221,218,0,0,0,0,0,2,0,0,1
"N00000160",322,320,0,0,0,0,0,0,2,0,0
"N00000161",342,335,0,0,0,0,0,2,5,0,0
"N00000162",242,236,0,0,1,0,0,4,1,0,0
"N00000163",311,311,0,0,0,0,0,0,0,0,0
"N00000164",288,288,0,0,0,0,0,0,0,0,0
"N00000165",325,324,0,0,0,0,0,0,1,0,0
"N00000166",273,268,0,0,2,3,0,0,0,0,0
"N00000167",379,377,0,0,1,0,0,0,0,0,1
"N00000168",345,345,0,0,0,0,0,0,0,0,0
"N00000169",704,692,0,0,8,0,0,0,0,2,2
"N00000170",370,367,0,0,2,0,0,0,0,1,0
"N00000171",416,408,1,0,2,5,0,0,0,0,0
"N00000172",772,756,2,0,5,4,0,0,5,0,0
"N00000173",373,373,0,0,0,0,0,0,0,0,0
"N00000174",393,388,0,0,4,0,0,0,1,0,0
"N00000175",373,369,0,0,4,0,0,0,0,0,0
"N00000176",474,456,1,0,8,0,3,0,5,0,1
"N00000177",323,310,0,0,1,0,1,5,3,3,0
"N00000178",667,659,1,0,3,0,0,3,1,0,0
"N00000179",852,837,0,0,0,0,0,13,0,2,0
"N00000180",280,280,0,0,0,0,0,0,0,0,0
"N00000181",274,258,2,0,0,3,1,0,5,5,0
"N00000182",228,227,0,0,0,0,0,1,0,0,0
"N00000183",293,273,0,0,4,0,5,5,0,6,0
"N00000184",372,368,2,0,0,0,0,0,0,2,0
"N00000185",211,211,0,0,0,0,0,0,0,0,0
"N00000186",299,294,0,0,1,0,0,1,1,2,0
"N00000187",255,255,0,0,0,0,0,0,0,0,0
"N00000188",347,343,3,0,1,0,0,0,0,0,0
"N00000189",341,341,0,0,0,0,0,0,0,0,0
"N00000190",304,302,0,0,1,0,0,0,0,0,1
"N00000191",303,300,0,0,3,0,0,0,0,0,0
"N00000192",302,300,1,0,1,0,0,0,0,0,0
"N00000193",291,288,0,0,2,0,0,0,0,1,0
"N00000194",255,255,0,0,0,0,0,0,0,0,0
"N00000195",246,246,0,0,0,0,0,0,0,0,0
"N00000196",237,231,1,0,0,4,0,0,0,1,0
"N00000197",326,319,0,0,3,1,0,0,3,0,0
"N00000198",287,280,0,0,2,0,0,0,5,0,0
"N00000199",350,349,0,0,0,0,0,0,1,0,0
"N00000200",331,320,0,0,1,0,0,0,8,2,0
"N00000201",294,294,0,0,0,0,0,0,0,0,0
"N00000202",304,304,0,0,0,0,0,0,0,0,0
"N00000203",334,328,0,0,1,0,0,0,1,4,0
"N00000204",393,383,0,0,2,0,0,1,4,3,0
"N00000205",303,303,0,0,0,0,0,0,0,0,0
"N00000206",390,387,1,0,1,0,0,0,0,1,0
"N00000207",253,252,0,0,0,0,0,0,0,1,0
"N00000208",316,312,0,0,3,1,0,0,0,0,0
"N00000209",356,355,0,0,1,0,0,0,0,0,0
"N00000210",383,368,1,1,0,0,0,0,0,13,0
"N00000211",528,496,1,0,8,5,0,0,0,17,1
"N00000212",175,173,1,0,0,0,0,0,0,1,0
"N00000213",281,273,0,0,0,4,0,0,0,4,0
"N00000214",323,307,1,0,1,0,0,0,0,10,4
"N00000215",400,399,1,0,0,0,0,0,0,0,0
"N00000216",397,396,0,0,1,0,0,0,0,0,0
"N00000217",479,479,0,0,0,0,0,0,0,0,0
"N00000218",361,355,0,1,4,1,0,0,0,0,0
"N00000219",245,232,1,0,2,0,0,9,0,0,1
"N00000220",284,282,0,1,1,0,0,0,0,0,0
"N00000221",262,262,0,0,0,0,0,0,0,0,0
"N00000222",298,296,0,0,0,0,0,0,0,2,0
"N00000223",319,319,0,0,0,0,0,0,0,0,0
"N00000224",243,240,0,0,0,3,0,0,0,0,0
"N00000225",147,147,0,0,0,0,0,0,0,0,0
"N00000226",261,261,0,0,0,0,0,0,0,0,0
"N00000227",195,194,0,0,0,1,0,0,0,0,0
"N00000228",306,306,0,0,0,0,0,0,0,0,0
"N00000229",395,387,0,0,1,0,1,0,0,6,0
"N00000230",293,287,0,0,0,0,0,2,4,0,0
"N00000231",324,318,0,0,1,0,0,0,5,0,0
"N00000232",309,295,0,0,3,0,0,9,1,1,0
"N00000233",258,251,1,0,1,0,0,5,0,0,0
"N00000234",256,248,0,0,1,0,0,6,1,0,0
"N00000235",323,322,1,0,0,0,0,0,0,0,0
"N00000236",291,286,0,0,3,0,0,0,1,1,0
"N00000237",416,415,0,0,1,0,0,0,0,0,0
"N00000238",306,305,0,0,1,0,0,0,0,0,0
"N00000239",254,251,0,0,2,0,0,0,1,0,0
"N00000240",354,353,0,0,1,0,0,0,0,0,0
"N00000241",424,418,0,0,0,1,0,5,0,0,0
"N00000242",360,359,0,0,1,0,0,0,0,0,0
"N00000243",265,265,0,0,0,0,0,0,0,0,0
"N00000244",275,272,0,0,0,0,0,0,1,2,0
"N00000245",314,303,0,0,0,0,0,10,0,0,1
"N00000246",309,307,0,0,1,0,0,0,1,0,0
"N00000247",309,299,0,0,4,1,0,5,0,0,0
"N00000248",337,336,1,0,0,0,0,0,0,0,0
"N00000249",386,382,0,0,0,0,0,0,4,0,0
"N00000250",401,398,0,0,2,1,0,0,0,0,0
"N00000251",456,456,0,0,0,0,0,0,0,0,0
"N00000252",345,340,4,0,0,0,0,0,0,1,0
"N00000253",499,499,0,0,0,0,0,0,0,0,0
"N00000254",315,313,0,0,0,0,0,0,1,0,1
"N00000255",351,347,0,0,3,0,0,0,0,1,0
"N00000256",780,775,2,0,0,1,0,0,1,1,0
"N00000257",447,446,0,0,1,0,0,0,0,0,0
"N00000258",379,374,0,0,4,0,0,0,0,1,0
"N00000259",465,461,1,0,1,0,0,0,0,0,2
"N00000260",560,557,0,0,1,0,0,0,1,0,1
"N00000261",561,556,0,0,0,0,0,0,0,5,0
"N00000262",419,416,0,2,1,0,0,0,0,0,0
"N00000263",239,238,0,0,1,0,0,0,0,0,0
"N00000264",566,565,0,0,0,0,0,0,0,1,0
"N00000265",351,351,0,0,0,0,0,0,0,0,0
"N00000266",328,320,0,0,0,4,0,0,0,4,0
"N00000267",431,431,0,0,0,0,0,0,0,0,0
"N00000268",384,384,0,0,0,0,0,0,0,0,0
"N00000269",347,346,0,0,1,0,0,0,0,0,0
"N00000270",371,370,0,0,0,0,0,0,0,1,0
"N00000271",380,380,0,0,0,0,0,0,0,0,0
"N00000272",295,292,1,0,2,0,0,0,0,0,0
"N00000273",460,457,0,0,3,0,0,0,0,0,0
"N00000274",468,466,0,0,1,0,0,0,0,0,1
"N00000275",291,290,0,0,0,0,0,0,1,0,0
"N00000276",315,314,1,0,0,0,0,0,0,0,0
"N00000277",310,309,0,0,1,0,0,0,0,0,0
"N00000278",304,303,1,0,0,0,0,0,0,0,0
"N00000279",181,180,0,0,1,0,0,0,0,0,0
"N00000280",392,392,0,0,0,0,0,0,0,0,0
"N00000281",349,347,0,0,1,0,0,0,1,0,0
"N00000282",364,363,1,0,0,0,0,0,0,0,0
"N00000283",346,345,0,1,0,0,0,0,0,0,0
"N00000284",382,369,2,0,2,0,0,0,9,0,0
"N00000285",322,322,0,0,0,0,0,0,0,0,0
"N00000286",271,271,0,0,0,0,0,0,0,0,0
"N00000287",297,295,0,0,0,0,0,0,2,0,0
"N00000288",353,348,0,0,2,0,0,0,3,0,0
"N00000289",496,493,0,0,1,0,0,0,2,0,0
"N00000290",271,270,0,0,0,0,0,0,0,1,0
"N00000291",512,511,1,0,0,0,0,0,0,0,0
"N00000292",731,730,0,0,1,0,0,0,0,0,0
"N00000293",522,520,0,0,0,0,0,0,0,1,1
"N00000294",405,400,0,0,2,2,0,0,0,1,0
"N00000295",421,421,0,0,0,0,0,0,0,0,0
"N00000296",287,287,0,0,0,0,0,0,0,0,0
"N00000297",371,369,0,0,0,0,0,0,0,2,0
"N00000298",335,321,0,0,4,5,0,0,3,1,1
"N00000299",324,313,2,0,2,0,0,7,0,0,0
"N00000300",296,289,0,0,6,0,0,0,0,1,0
"N00000301",366,358,0,0,3,0,0,0,4,0,1
"N00000302",363,354,0,0,0,0,0,0,7,0,2
"N00000303",318,315,0,0,3,0,0,0,0,0,0
"N00000304",342,332,0,0,0,0,0,0,10,0,0
"N00000305",395,395,0,0,0,0,0,0,0,0,0
"N00000306",381,379,0,0,0,0,0,0,1,1,0
"N00000307",355,351,0,0,0,0,0,0,4,0,0
"N00000308",277,276,0,0,0,0,0,0,0,0,1
"N00000309",378,364,0,0,0,0,0,12,2,0,0
"N00000310",408,404,0,0,0,0,0,0,3,1,0
"N00000311",333,330,0,1,0,1,0,0,0,0,1
"N00000312",512,509,0,0,2,0,0,0,1,0,0
"N00000313",636,634,0,0,0,0,0,0,2,0,0
"N00000314",358,357,1,0,0,0,0,0,0,0,0
"N00000315",345,343,1,0,1,0,0,0,0,0,0
"N00000316",374,374,0,0,0,0,0,0,0,0,0
"N00000317",447,444,1,0,1,0,0,0,1,0,0
"N00000318",344,337,3,0,4,0,0,0,0,0,0
"N00000319",819,819,0,0,0,0,0,0,0,0,0
"N00000320",318,318,0,0,0,0,0,0,0,0,0
"N00000321",517,516,0,0,1,0,0,0,0,0,0
"N00000322",389,385,3,0,1,0,0,0,0,0,0
"N00000323",472,472,0,0,0,0,0,0,0,0,0
"N00000324",376,375,0,0,1,0,0,0,0,0,0
"N00000325",538,537,1,0,0,0,0,0,0,0,0
"N00000326",946,944,0,0,1,0,0,0,1,0,0
"N00000327",325,322,0,0,0,0,0,0,2,1,0
"N00000328",291,284,0,0,1,0,0,0,5,0,1
"N00000329",402,401,0,0,0,0,0,0,1,0,0
"N00000330",539,534,3,0,0,0,0,0,2,0,0
"N00000331",612,610,0,0,1,0,0,0,0,1,0
"N00000332",284,283,0,0,1,0,0,0,0,0,0
"N00000333",293,293,0,0,0,0,0,0,0,0,0
"N00000334",294,293,0,0,1,0,0,0,0,0,0
"N00000335",326,311,0,0,2,5,0,0,5,1,2
"N00000336",330,325,0,3,1,1,0,0,0,0,0
"N00000337",282,272,0,0,4,0,0,0,5,1,0
"N00000338",308,306,0,0,1,0,0,1,0,0,0
"N00000339",294,291,0,0,1,0,0,0,0,2,0
"N00000340",427,421,1,0,0,0,0,5,0,0,0
"N00000341",348,346,1,0,0,0,0,1,0,0,0
"N00000342",359,359,0,0,0,0,0,0,0,0,0
"N00000343",351,349,0,0,1,0,0,0,1,0,0
"N00000344",406,391,2,0,0,12,0,0,1,0,0
"N00000345",416,415,1,0,0,0,0,0,0,0,0
"N00000346",685,681,0,0,0,0,0,0,4,0,0
"N00000347",257,251,0,0,0,1,0,0,5,0,0
"N00000348",426,426,0,0,0,0,0,0,0,0,0
"N00000349",368,358,2,0,0,4,1,0,3,0,0
"N00000350",577,572,2,1,2,0,0,0,0,0,0
"N00000351",414,413,0,0,1,0,0,0,0,0,0
"N00000352",466,465,0,0,0,0,1,0,0,0,0
"N00000353",422,419,0,0,1,0,0,0,2,0,0
"N00000354",405,399,4,0,2,0,0,0,0,0,0
"N00000355",441,437,1,0,0,0,0,0,0,3,0
"N00000356",414,396,1,13,0,4,0,0,0,0,0
"N00000357",1212,1159,0,25,1,4,0,0,23,0,0
"N00000358",371,358,0,13,0,0,0,0,0,0,0
"N00000359",820,785,1,0,4,9,6,0,13,2,0
"N00000360",423,423,0,0,0,0,0,0,0,0,0
"N00000361",413,408,5,0,0,0,0,0,0,0,0
"N00000362",390,387,0,0,1,0,0,0,1,1,0
"N00000363",484,484,0,0,0,0,0,0,0,0,0
"N00000364",475,475,0,0,0,0,0,0,0,0,0
"N00000365",255,254,0,1,0,0,0,0,0,0,0
"N00000366",536,522,1,0,5,8,0,0,0,0,0
"N00000367",351,348,0,0,0,3,0,0,0,0,0
"N00000368",544,543,0,0,0,1,0,0,0,0,0
"N00000369",411,406,0,0,0,5,0,0,0,0,0
"N00000370",485,485,0,0,0,0,0,0,0,0,0
"N00000371",447,446,0,0,1,0,0,0,0,0,0
"N00000372",380,372,0,0,0,1,4,0,3,0,0
"N00000373",437,425,0,4,2,2,0,0,4,0,0
"N00000374",348,343,0,1,2,0,0,0,1,0,1
"N00000375",303,300,1,0,2,0,0,0,0,0,0
"N00000376",261,261,0,0,0,0,0,0,0,0,0
"N00000377",268,267,0,0,1,0,0,0,0,0,0
"N00000378",289,285,0,0,2,0,0,0,1,0,1
"N00000379",490,483,0,0,5,0,0,0,2,0,0
"N00000380",532,531,1,0,0,0,0,0,0,0,0
"N00000381",979,978,0,1,0,0,0,0,0,0,0
"N00000382",557,557,0,0,0,0,0,0,0,0,0
"N00000383",472,472,0,0,0,0,0,0,0,0,0
"N00000384",490,488,0,1,0,1,0,0,0,0,0
"N00000385",445,443,0,0,0,0,1,0,0,1,0
"N00000386",291,288,0,0,0,0,0,2,1,0,0
"N00000387",227,219,1,0,1,5,0,0,1,0,0
"N00000388",1602,1589,2,1,0,7,0,1,0,1,1
"N00000389",445,441,0,0,0,4,0,0,0,0,0
"N00000390",972,968,0,0,3,0,0,0,1,0,0
"N00000391",524,523,0,1,0,0,0,0,0,0,0
"N00000392",1399,1389,0,0,5,3,0,0,1,0,1
"N00000393",459,457,0,0,0,1,0,0,0,1,0
"N00000394",406,402,0,0,3,0,0,0,0,0,1
"N00000395",508,507,0,0,1,0,0,0,0,0,0
"N00000396",376,370,0,0,3,0,0,0,1,0,2
"N00000397",520,513,0,0,5,1,0,0,1,0,0
"N00000398",463,458,0,0,2,0,0,0,3,0,0
"N00000399",304,303,0,0,1,0,0,0,0,0,0
"N00000400",240,238,2,0,0,0,0,0,0,0,0
"N00000401",286,286,0,0,0,0,0,0,0,0,0
"N00000402",248,248,0,0,0,0,0,0,0,0,0
"N00000403",522,517,0,3,1,1,0,0,0,0,0
"N00000404",276,276,0,0,0,0,0,0,0,0,0
"N00000405",223,223,0,0,0,0,0,0,0,0,0
"N00000406",397,397,0,0,0,0,0,0,0,0,0
"N00000407",1125,1108,7,1,1,0,0,0,0,8,0
"N00000408",468,464,1,0,0,2,0,0,0,1,0
"N00000409",403,403,0,0,0,0,0,0,0,0,0
"N00000410",392,392,0,0,0,0,0,0,0,0,0
"N00000411",355,353,1,1,0,0,0,0,0,0,0
"N00000412",438,438,0,0,0,0,0,0,0,0,0
"N00000413",442,439,0,0,2,0,0,0,1,0,0
"N00000414",380,380,0,0,0,0,0,0,0,0,0
"N00000415",439,438,1,0,0,0,0,0,0,0,0
"N00000416",420,419,1,0,0,0,0,0,0,0,0
"N00000417",533,530,0,1,1,0,0,0,0,1,0
"N00000418",857,854,0,1,1,0,0,0,0,1,0
"N00000419",354,353,0,0,1,0,0,0,0,0,0
"N00000420",339,335,0,0,0,4,0,0,0,0,0
"N00000421",530,529,0,0,1,0,0,0,0,0,0
"N00000422",422,422,0,0,0,0,0,0,0,0,0
"N00000423",461,459,1,0,1,0,0,0,0,0,0
"N00000424",561,557,0,0,2,0,0,0,0,1,1
"N00000425",363,363,0,0,0,0,0,0,0,0,0
"N00000426",307,301,0,0,5,1,0,0,0,0,0
"N00000427",339,338,0,0,1,0,0,0,0,0,0
"N00000428",398,398,0,0,0,0,0,0,0,0,0
"N00000429",474,473,0,0,0,0,0,0,1,0,0
"N00000430",497,497,0,0,0,0,0,0,0,0,0
"N00000431",361,360,1,0,0,0,0,0,0,0,0
"N00000432",285,285,0,0,0,0,0,0,0,0,0
"N00000433",280,277,0,0,0,0,0,0,0,2,1
"N00000434",445,444,0,0,1,0,0,0,0,0,0
"N00000435",430,426,1,0,3,0,0,0,0,0,0
"N00000436",522,522,0,0,0,0,0,0,0,0,0
"N00000437",664,660,1,0,2,0,0,0,1,0,0
"N00000438",475,474,0,0,0,0,0,0,0,1,0
"N00000439",419,419,0,0,0,0,0,0,0,0,0
"N00000440",417,416,1,0,0,0,0,0,0,0,0
"N00000441",311,309,0,0,0,2,0,0,0,0,0
"N00000442",444,440,0,4,0,0,0,0,0,0,0
"N00000443",488,482,0,0,0,2,0,0,4,0,0
"N00000444",566,551,0,0,0,3,0,1,7,3,1
"N00000445",397,393,0,0,2,0,0,0,1,0,1
"N00000446",336,329,0,2,0,5,0,0,0,0,0
"N00000447",309,307,1,0,0,0,0,0,1,0,0
"N00000448",246,238,0,0,0,7,0,0,1,0,0
"N00000449",435,434,0,0,1,0,0,0,0,0,0
"N00000450",491,491,0,0,0,0,0,0,0,0,0
"N00000451",493,491,0,0,0,0,0,0,0,2,0
"N00000452",452,446,1,0,3,0,0,0,0,1,1
"N00000453",335,335,0,0,0,0,0,0,0,0,0
"N00000454",514,511,3,0,0,0,0,0,0,0,0
"N00000455",273,272,0,0,1,0,0,0,0,0,0
"N00000456",322,322,0,0,0,0,0,0,0,0,0
"N00000457",347,346,0,0,0,0,0,0,0,1,0
"N00000458",366,364,0,0,0,1,0,0,1,0,0
"N00000459",690,689,0,0,0,0,0,0,0,1,0
"N00000460",359,355,1,0,2,0,0,0,0,1,0
"N00000461",421,421,0,0,0,0,0,0,0,0,0
"N00000462",232,231,0,0,0,0,0,0,0,1,0
"N00000463",777,769,0,0,2,1,0,0,5,0,0
"N00000464",436,435,0,0,1,0,0,0,0,0,0
"N00000465",305,304,0,0,1,0,0,0,0,0,0
"N00000466",375,372,1,0,0,0,0,0,2,0,0
"N00000467",290,288,0,0,0,0,0,0,2,0,0
"N00000468",302,302,0,0,0,0,0,0,0,0,0
"N00000469",440,440,0,0,0,0,0,0,0,0,0
"N00000470",286,282,0,0,0,0,0,0,0,4,0
"N00000471",286,272,1,0,3,0,0,0,4,5,1
"N00000472",222,216,0,0,4,0,0,0,2,0,0
"N00000473",202,202,0,0,0,0,0,0,0,0,0
"N00000474",250,239,0,0,0,0,0,0,10,1,0
"N00000475",238,231,0,0,0,0,0,0,2,5,0
"N00000476",256,256,0,0,0,0,0,0,0,0,0
"N00000477",721,709,0,0,1,8,0,0,2,1,0
"N00000478",294,279,3,0,1,5,0,0,4,1,1
"N00000479",280,271,0,2,0,0,1,0,0,6,0
"N00000480",335,331,0,0,1,3,0,0,0,0,0
"N00000481",469,464,0,0,0,4,0,0,0,1,0
"N00000482",225,223,0,0,0,0,0,0,0,2,0
"N00000483",285,277,0,0,0,0,0,0,0,8,0
"N00000484",330,318,7,0,1,0,0,0,4,0,0
"N00000485",241,236,0,0,4,1,0,0,0,0,0
"N00000486",372,367,0,0,3,0,0,0,2,0,0
"N00000487",290,290,0,0,0,0,0,0,0,0,0
"N00000488",409,405,0,0,3,0,0,0,0,1,0
"N00000489",282,282,0,0,0,0,0,0,0,0,0
"N00000490",515,514,0,0,0,0,0,0,1,0,0
