"Geography_Code","NM_1530_1_0","NM_1530_1_1","NM_1530_1_2"
"N00000263",239,239,0
"N00000264",566,566,0
"N00000265",351,351,0
"N00000266",328,328,0
"N00000267",431,431,0
"N00000268",384,384,0
"N00000269",347,347,0
"N00000270",371,371,0
"N00000271",380,380,0
"N00000272",295,295,0
"N00000273",460,460,0
"N00000274",468,465,3
"N00000275",291,291,0
"N00000276",315,315,0
"N00000277",310,310,0
"N00000278",304,304,0
"N00000279",181,181,0
"N00000280",392,392,0
"N00000281",349,328,21
"N00000282",364,364,0
"N00000283",346,346,0
"N00000284",382,382,0
"N00000285",322,322,0
"N00000286",271,271,0
"N00000287",297,297,0
"N00000288",353,353,0
"N00000289",496,496,0
"N00000290",271,271,0
"N00000291",512,512,0
"N00000292",731,731,0
"N00000293",522,522,0
"N00000294",405,392,13
"N00000295",421,367,54
"N00000296",287,287,0
"N00000297",371,324,47
"N00000298",335,335,0
"N00000299",324,324,0
"N00000300",296,287,9
"N00000301",366,366,0
"N00000302",363,363,0
"N00000303",318,318,0
"N00000304",342,342,0
"N00000305",395,388,7
"N00000306",381,381,0
"N00000307",355,355,0
"N00000308",277,277,0
"N00000309",378,378,0
"N00000310",408,391,17
"N00000311",333,333,0
"N00000312",512,512,0
"N00000313",636,608,28
"N00000314",358,358,0
"N00000315",345,345,0
"N00000316",374,374,0
"N00000317",447,447,0
"N00000318",344,344,0
"N00000319",819,819,0
"N00000320",318,310,8
"N00000321",517,517,0
"N00000322",389,389,0
"N00000323",472,472,0
"N00000324",376,376,0
"N00000325",538,538,0
"N00000326",946,934,12
"N00000327",325,325,0
"N00000328",291,291,0
"N00000329",402,370,32
"N00000330",539,539,0
"N00000331",612,612,0
"N00000332",284,269,15
"N00000333",293,293,0
"N00000334",294,294,0
"N00000335",326,326,0
"N00000336",330,330,0
"N00000337",282,282,0
"N00000338",308,308,0
"N00000339",294,294,0
"N00000340",427,378,49
"N00000341",348,348,0
"N00000342",359,359,0
"N00000343",351,351,0
"N00000344",406,314,92
"N00000345",416,416,0
"N00000346",685,659,26
"N00000347",257,257,0
"N00000348",426,362,64
"N00000349",368,368,0
"N00000350",577,545,32
"N00000351",414,414,0
"N00000352",466,466,0
"N00000353",422,422,0
"N00000354",405,405,0
"N00000355",441,441,0
"N00000356",414,414,0
"N00000357",1212,1212,0
"N00000358",371,371,0
"N00000359",820,794,26
"N00000360",423,418,5
"N00000361",413,365,48
"N00000362",390,390,0
"N00000363",484,484,0
"N00000364",475,472,3
"N00000365",255,255,0
"N00000366",536,536,0
"N00000367",351,351,0
"N00000368",544,519,25
"N00000369",411,411,0
"N00000370",485,485,0
"N00000371",447,447,0
"N00000372",380,380,0
"N00000373",437,437,0
"N00000374",348,348,0
"N00000375",303,293,10
"N00000376",261,261,0
"N00000377",268,268,0
"N00000378",289,273,16
"N00000379",490,490,0
"N00000380",532,532,0
"N00000381",979,979,0
"N00000382",557,557,0
"N00000383",472,472,0
"N00000384",490,490,0
"N00000385",445,445,0
"N00000386",291,291,0
"N00000387",227,227,0
"N00000388",1602,1548,54
"N00000389",445,445,0
"N00000390",972,961,11
"N00000391",524,524,0
"N00000392",1399,1379,20
"N00000393",459,459,0
"N00000394",406,406,0
"N00000395",508,426,82
"N00000396",376,376,0
"N00000397",520,520,0
"N00000398",463,463,0
"N00000399",304,304,0
"N00000400",240,240,0
"N00000401",286,286,0
"N00000402",248,248,0
"N00000403",522,514,8
"N00000404",276,276,0
"N00000405",223,223,0
"N00000406",397,397,0
"N00000407",1125,1125,0
"N00000408",468,468,0
"N00000409",403,369,34
"N00000410",392,392,0
"N00000411",355,355,0
"N00000412",438,438,0
"N00000413",442,442,0
"N00000414",380,380,0
"N00000415",439,439,0
"N00000416",420,420,0
"N00000417",533,533,0
"N00000418",857,857,0
"N00000419",354,354,0
"N00000420",339,321,18
"N00000421",530,530,0
"N00000422",422,422,0
"N00000423",461,461,0
"N00000424",561,561,0
"N00000425",363,363,0
"N00000426",307,297,10
"N00000427",339,339,0
"N00000428",398,398,0
"N00000429",474,474,0
"N00000430",497,497,0
"N00000431",361,361,0
"N00000432",285,285,0
"N00000433",280,261,19
"N00000434",445,445,0
"N00000435",430,430,0
"N00000436",522,522,0
"N00000437",664,662,2
"N00000438",475,471,4
"N00000439",419,419,0
"N00000440",417,417,0
"N00000441",311,311,0
"N00000442",444,444,0
"N00000443",488,488,0
"N00000444",566,566,0
"N00000445",397,397,0
"N00000446",336,336,0
"N00000447",309,276,33
"N00000448",246,246,0
"N00000449",435,435,0
"N00000450",491,491,0
"N00000451",493,493,0
"N00000452",452,452,0
"N00000453",335,335,0
"N00000454",514,514,0
"N00000455",273,273,0
"N00000456",322,322,0
"N00000457",347,347,0
"N00000458",366,366,0
"N00000459",690,646,44
"N00000460",359,359,0
"N00000461",421,421,0
"N00000462",232,232,0
"N00000463",777,777,0
"N00000464",436,436,0
"N00000465",305,305,0
"N00000466",375,375,0
"N00000467",290,290,0
"N00000468",302,302,0
"N00000469",440,440,0
"N00000470",286,286,0
"N00000471",286,286,0
"N00000472",222,222,0
"N00000473",202,202,0
"N00000474",250,234,16
"N00000475",238,238,0
"N00000476",256,256,0
"N00000477",721,721,0
"N00000478",294,294,0
"N00000479",280,280,0
"N00000480",335,335,0
"N00000481",469,401,68
"N00000482",225,225,0
"N00000483",285,285,0
"N00000484",330,330,0
"N00000485",241,241,0
"N00000486",372,372,0
"N00000487",290,290,0
"N00000488",409,409,0
"N00000489",282,282,0
"N00000490",515,515,0
"N00000491",525,509,16
"N00000492",414,414,0
"N00000493",331,331,0
"N00000494",825,825,0
"N00000495",336,336,0
"N00000496",837,837,0
"N00000497",837,837,0
"N00000498",337,308,29
"N00000499",296,296,0
"N00000500",503,503,0
"N00000501",300,300,0
"N00000502",196,196,0
"N00000503",395,395,0
"N00000504",236,236,0
"N00000505",225,225,0
"N00000506",282,282,0
"N00000507",269,269,0
"N00000508",316,316,0
"N00000509",357,357,0
"N00000510",290,290,0
"N00000511",520,421,99
"N00000512",430,430,0
"N00000513",327,327,0
"N00000514",357,357,0
"N00000515",345,345,0
"N00000516",215,215,0
"N00000517",394,332,62
"N00000518",311,311,0
"N00000519",260,260,0
"N00000520",612,612,0
"N00000521",413,413,0
"N00000522",451,451,0
"N00000523",397,397,0
"N00000524",488,488,0
"N00000525",431,431,0
"N00000526",260,259,1
"N00000527",344,344,0
"N00000528",247,217,30
"N00000529",238,238,0
"N00000530",292,292,0
"N00000531",317,305,12
"N00000532",214,214,0
"N00000533",214,214,0
"N00000534",490,490,0
"N00000535",519,519,0
"N00000536",392,392,0
"N00000537",413,395,18
"N00000538",395,395,0
"N00000539",381,381,0
"N00000540",291,291,0
"N00000541",407,407,0
"N00000542",265,265,0
"N00000543",389,389,0
"N00000544",273,273,0
"N00000545",288,288,0
"N00000546",280,280,0
"N00000547",327,327,0
"N00000548",285,285,0
"N00000549",215,215,0
"N00000550",429,429,0
"N00000551",269,269,0
"N00000552",254,254,0
"N00000553",347,347,0
"N00000554",250,250,0
"N00000555",251,251,0
"N00000556",348,348,0
"N00000557",552,552,0
"N00000558",466,438,28
"N00000559",322,322,0
"N00000560",413,413,0
"N00000561",493,493,0
"N00000562",364,364,0
"N00000563",923,921,2
"N00000564",323,323,0
"N00000565",218,218,0
"N00000566",320,281,39
"N00000567",517,515,2
"N00000568",369,369,0
"N00000569",380,380,0
"N00000570",337,337,0
"N00000571",303,303,0
"N00000572",572,565,7
"N00000573",364,364,0
"N00000574",435,435,0
"N00000575",462,462,0
"N00000576",344,344,0
"N00000577",434,434,0
"N00000578",718,718,0
"N00000579",480,480,0
"N00000580",474,474,0
"N00000581",539,539,0
"N00000582",401,401,0
"N00000583",305,305,0
"N00000584",493,455,38
"N00000585",477,477,0
"N00000586",446,446,0
"N00000587",465,465,0
"N00000588",394,394,0
"N00000589",639,639,0
"N00000590",416,416,0
"N00000591",454,454,0
"N00000592",480,480,0
"N00000593",576,576,0
"N00000594",371,371,0
"N00000595",525,525,0
"N00000596",293,287,6
"N00000597",235,235,0
"N00000598",287,276,11
"N00000599",223,223,0
"N00000600",350,295,55
"N00000601",283,283,0
"N00000602",214,214,0
"N00000603",414,365,49
"N00000604",340,340,0
"N00000605",488,488,0
"N00000606",352,352,0
"N00000607",310,310,0
"N00000608",365,365,0
"N00000609",375,375,0
"N00000610",419,419,0
"N00000611",301,301,0
"N00000612",543,543,0
"N00000613",236,236,0
"N00000614",217,217,0
"N00000615",139,139,0
"N00000616",301,301,0
"N00000617",310,306,4
"N00000618",621,621,0
"N00000619",371,371,0
"N00000620",372,372,0
"N00000621",390,390,0
"N00000622",385,376,9
"N00000623",332,314,18
"N00000624",469,469,0
"N00000625",262,262,0
"N00000626",492,492,0
"N00000627",456,456,0
"N00000628",415,415,0
"N00000629",438,438,0
"N00000630",272,272,0
"N00000631",406,406,0
"N00000632",474,455,19
"N00000633",325,325,0
"N00000634",495,495,0
"N00000635",410,410,0
"N00000636",399,399,0
"N00000637",832,813,19
"N00000638",398,398,0
"N00000639",408,408,0
"N00000640",343,343,0
"N00000641",341,341,0
"N00000642",389,389,0
"N00000643",477,477,0
"N00000644",548,548,0
"N00000645",451,451,0
"N00000646",419,419,0
"N00000647",723,723,0
"N00000648",381,381,0
"N00000649",389,389,0
"N00000650",602,602,0
"N00000651",278,278,0
"N00000652",533,533,0
"N00000653",309,309,0
"N00000654",269,269,0
"N00000655",368,352,16
"N00000656",242,242,0
"N00000657",851,851,0
"N00000658",364,361,3
"N00000659",391,391,0
"N00000660",387,387,0
"N00000661",384,375,9
"N00000662",352,352,0
"N00000663",395,395,0
"N00000664",378,375,3
"N00000665",485,485,0
"N00000666",439,439,0
"N00000667",538,538,0
"N00000668",323,323,0
"N00000669",493,493,0
"N00000670",292,292,0
"N00000671",239,239,0
"N00000672",324,324,0
"N00000673",943,943,0
"N00000674",316,316,0
"N00000675",387,387,0
"N00000676",721,655,66
"N00000677",295,275,20
"N00000678",531,531,0
"N00000679",561,540,21
"N00000680",413,403,10
"N00000681",385,385,0
"N00000682",485,485,0
"N00000683",391,391,0
"N00000684",595,595,0
"N00000685",326,326,0
"N00000686",499,499,0
"N00000687",379,379,0
"N00000688",407,407,0
"N00000689",392,392,0
"N00000690",282,282,0
"N00000691",303,303,0
"N00000692",244,244,0
"N00000693",287,280,7
"N00000694",873,873,0
"N00000695",518,518,0
"N00000696",180,180,0
"N00000697",380,380,0
"N00000698",451,451,0
"N00000699",256,256,0
"N00000700",262,262,0
"N00000701",235,235,0
"N00000702",771,771,0
"N00000703",342,342,0
"N00000704",656,656,0
"N00000705",680,680,0
"N00000706",437,437,0
"N00000707",360,360,0
"N00000708",466,466,0
"N00000709",465,465,0
"N00000710",345,345,0
"N00000711",522,522,0
"N00000712",385,385,0
"N00000713",421,421,0
"N00000714",453,438,15
"N00000715",656,656,0
"N00000716",897,897,0
"N00000717",576,545,31
"N00000718",1923,1911,12
"N00000719",260,260,0
"N00000720",484,484,0
"N00000721",460,460,0
"N00000722",495,495,0
"N00000723",445,445,0
"N00000724",495,495,0
"N00000725",477,477,0
"N00000726",445,445,0
"N00000727",274,274,0
"N00000728",495,495,0
"N00000729",355,355,0
"N00000730",305,305,0
"N00000731",267,267,0
"N00000732",569,569,0
"N00000733",325,325,0
"N00000734",416,416,0
"N00000735",422,422,0
"N00000736",382,382,0
"N00000737",382,382,0
"N00000738",432,432,0
"N00000739",444,444,0
"N00000740",567,567,0
"N00000741",345,345,0
"N00000742",286,286,0
"N00000743",270,270,0
"N00000744",283,283,0
"N00000745",470,470,0
"N00000746",508,508,0
"N00000747",401,401,0
"N00000748",454,454,0
"N00000749",387,342,45
"N00000750",319,302,17
"N00000751",464,464,0
"N00000752",412,412,0
"N00000753",436,436,0
"N00000754",436,436,0
"N00000755",391,391,0
"N00000756",366,366,0
"N00000757",451,451,0
"N00000758",471,471,0
"N00000759",304,304,0
"N00000760",250,250,0
"N00000761",421,421,0
"N00000762",222,216,6
"N00000763",410,410,0
"N00000764",278,278,0
"N00000765",413,413,0
"N00000766",776,740,36
"N00000767",312,312,0
"N00000768",276,276,0
"N00000769",393,393,0
"N00000770",374,374,0
"N00000771",233,233,0
"N00000772",456,456,0
"N00000773",420,420,0
"N00000774",1023,1023,0
"N00000775",296,295,1
"N00000776",327,327,0
"N00000777",912,912,0
"N00000778",432,432,0
"N00000779",564,564,0
"N00000780",531,531,0
"N00000781",508,508,0
"N00000782",526,526,0
"N00000783",565,565,0
"N00000784",437,437,0
"N00000785",332,332,0
"N00000786",384,384,0
"N00000787",437,437,0
"N00000788",427,427,0
"N00000789",997,994,3
"N00000790",530,530,0
"N00000791",347,347,0
"N00000792",399,399,0
"N00000793",451,451,0
"N00000794",467,467,0
"N00000795",539,539,0
"N00000796",351,351,0
"N00000797",349,349,0
"N00000798",527,527,0
"N00000799",475,475,0
"N00000800",428,428,0
"N00000801",529,529,0
"N00000802",272,272,0
"N00000803",398,398,0
"N00000804",422,422,0
"N00000805",383,364,19
"N00000806",341,341,0
"N00000807",521,521,0
"N00000808",243,235,8
"N00000809",557,505,52
"N00000810",434,434,0
"N00000811",345,345,0
"N00000812",299,299,0
"N00000813",491,491,0
"N00000814",258,258,0
"N00000815",487,487,0
"N00000816",558,501,57
"N00000817",256,256,0
"N00000818",324,324,0
"N00000819",253,253,0
"N00000820",375,375,0
"N00000821",269,269,0
"N00000822",209,209,0
"N00000823",365,365,0
"N00000824",253,246,7
"N00000825",367,367,0
"N00000826",302,299,3
"N00000827",298,298,0
"N00000828",231,231,0
"N00000829",310,310,0
"N00000830",260,260,0
"N00000831",306,306,0
"N00000832",273,273,0
"N00000833",253,253,0
"N00000834",390,331,59
"N00000835",301,301,0
"N00000836",347,347,0
"N00000837",351,351,0
"N00000838",283,283,0
"N00000839",363,363,0
"N00000840",272,272,0
"N00000841",295,295,0
"N00000842",556,556,0
"N00000843",233,233,0
"N00000844",213,213,0
"N00000845",202,202,0
"N00000846",246,246,0
"N00000847",958,958,0
"N00000848",240,240,0
"N00000849",307,307,0
"N00000850",270,270,0
"N00000851",243,243,0
"N00000852",1179,1179,0
"N00000853",282,282,0
"N00000854",763,763,0
"N00000855",169,169,0
"N00000856",182,182,0
"N00000857",386,363,23
"N00000858",239,239,0
"N00000859",287,287,0
"N00000860",437,409,28
"N00000861",303,303,0
"N00000862",876,876,0
"N00000863",294,294,0
"N00000864",305,305,0
"N00000865",358,358,0
"N00000866",342,342,0
"N00000867",288,288,0
"N00000868",297,297,0
"N00000869",186,186,0
"N00000870",394,363,31
"N00000871",340,340,0
"N00000872",256,256,0
"N00000873",322,322,0
"N00000874",533,533,0
"N00000875",284,284,0
"N00000876",212,212,0
"N00000877",357,357,0
"N00000878",234,234,0
"N00000879",1015,1015,0
"N00000880",315,315,0
"N00000881",296,296,0
"N00000882",253,253,0
"N00000883",264,264,0
"N00000884",205,205,0
"N00000885",618,618,0
"N00000886",253,253,0
"N00000887",308,283,25
"N00000888",308,297,11
"N00000889",259,259,0
"N00000890",339,339,0
"N00000891",346,346,0
"N00000892",318,318,0
"N00000893",284,284,0
"N00000894",263,263,0
"N00000895",272,272,0
"N00000896",265,265,0
"N00000897",300,300,0
"N00000898",307,307,0
"N00000899",306,306,0
"N00000900",216,216,0
"N00000901",313,313,0
"N00000902",294,294,0
"N00000903",206,206,0
"N00000904",446,446,0
"N00000905",325,325,0
"N00000906",263,263,0
"N00000907",332,332,0
"N00000908",329,329,0
"N00000909",246,187,59
"N00000910",273,273,0
"N00000911",239,239,0
"N00000912",243,243,0
"N00000913",321,321,0
"N00000914",294,294,0
"N00000915",214,214,0
"N00000916",234,234,0
"N00000917",226,226,0
"N00000918",261,261,0
"N00000919",229,229,0
"N00000920",148,148,0
"N00000921",713,713,0
"N00000922",292,292,0
"N00000923",257,257,0
"N00000924",224,224,0
"N00000925",288,288,0
"N00000926",284,284,0
"N00000927",421,421,0
"N00000928",356,356,0
"N00000929",437,419,18
"N00000930",364,364,0
"N00000931",682,682,0
"N00000932",419,419,0
"N00000933",288,288,0
"N00000934",282,282,0
"N00000935",251,251,0
"N00000936",473,473,0
"N00000937",433,433,0
"N00000938",345,345,0
"N00000939",198,198,0
"N00000940",252,252,0
"N00000941",343,343,0
"N00000942",280,280,0
"N00000943",272,272,0
"N00000944",245,245,0
"N00000945",254,254,0
"N00000946",386,386,0
"N00000947",248,248,0
"N00000948",225,225,0
"N00000949",314,314,0
"N00000950",317,317,0
"N00000951",240,240,0
"N00000952",391,391,0
"N00000953",238,238,0
"N00000954",275,275,0
"N00000955",394,394,0
"N00000956",488,488,0
"N00000957",555,521,34
"N00000958",294,294,0
"N00000959",476,476,0
"N00000960",515,493,22
"N00000961",311,305,6
"N00000962",338,338,0
"N00000963",252,252,0
"N00000964",297,297,0
"N00000965",300,300,0
"N00000966",331,331,0
"N00000967",378,338,40
"N00000968",255,255,0
"N00000969",193,193,0
"N00000970",486,478,8
"N00000971",261,261,0
"N00000972",317,317,0
"N00000973",331,331,0
"N00000974",275,275,0
"N00000975",262,262,0
"N00000976",141,141,0
"N00000977",285,285,0
"N00000978",239,239,0
"N00000979",217,217,0
"N00000980",223,223,0
"N00000981",207,207,0
"N00000982",252,252,0
"N00000983",336,336,0
"N00000984",329,329,0
"N00000985",244,243,1
"N00000986",214,214,0
"N00000987",367,367,0
"N00000988",146,146,0
"N00000989",262,262,0
"N00000990",274,274,0
"N00000991",269,269,0
"N00000992",462,462,0
"N00000993",236,236,0
"N00000994",928,928,0
"N00000995",195,195,0
"N00000996",383,332,51
"N00000997",271,271,0
"N00000998",304,304,0
"N00000999",227,227,0
"N00001000",307,307,0
"N00001001",296,292,4
"N00001002",796,796,0
"N00001003",218,218,0
"N00001004",303,303,0
"N00001005",258,249,9
"N00001006",527,460,67
"N00001007",595,595,0
"N00001008",245,245,0
"N00001009",188,188,0
"N00001010",334,334,0
"N00001011",374,374,0
"N00001012",353,353,0
"N00001013",242,242,0
"N00001014",239,239,0
"N00001015",416,416,0
"N00001016",262,259,3
"N00001017",323,317,6
"N00001018",288,288,0
"N00001019",205,205,0
"N00001020",171,171,0
"N00001021",239,237,2
"N00001022",604,527,77
"N00001023",220,220,0
"N00001024",346,346,0
"N00001025",297,297,0
"N00001026",236,236,0
"N00001027",395,395,0
"N00001028",261,261,0
"N00001029",699,699,0
"N00001030",514,450,64
"N00001031",372,372,0
"N00001032",185,185,0
"N00001033",129,129,0
"N00001034",344,344,0
"N00001035",284,284,0
"N00001036",391,387,4
"N00001037",368,368,0
"N00001038",726,726,0
"N00001039",387,366,21
"N00001040",271,271,0
"N00001041",190,190,0
"N00001042",664,664,0
"N00001043",206,206,0
"N00001044",303,303,0
"N00001045",274,274,0
"N00001046",307,307,0
"N00001047",314,314,0
"N00001048",331,331,0
"N00001049",330,330,0
"N00001050",335,335,0
"N00001051",371,371,0
"N00001052",180,180,0
"N00001053",355,355,0
"N00001054",341,341,0
"N00001055",350,350,0
"N00001056",355,355,0
"N00001057",326,326,0
"N00001058",349,349,0
"N00001059",320,320,0
"N00001060",256,256,0
"N00001061",341,259,82
"N00001062",354,282,72
"N00001063",306,306,0
"N00001064",632,632,0
"N00001065",326,326,0
"N00001066",275,275,0
"N00001067",278,278,0
"N00001068",336,295,41
"N00001069",327,327,0
"N00001070",518,518,0
"N00001071",318,311,7
"N00001072",320,320,0
"N00001073",283,283,0
"N00001074",240,240,0
"N00001075",308,280,28
"N00001076",272,272,0
"N00001077",229,229,0
"N00001078",257,257,0
"N00001079",829,799,30
"N00001080",324,318,6
"N00001081",412,412,0
"N00001082",431,431,0
"N00001083",436,436,0
"N00001084",447,401,46
"N00001085",1087,1083,4
"N00001086",336,336,0
"N00001087",307,307,0
"N00001088",305,305,0
"N00001089",316,316,0
"N00001090",222,222,0
"N00001091",384,384,0
"N00001092",398,398,0
"N00001093",642,642,0
"N00001094",239,239,0
"N00001095",368,368,0
"N00001096",397,397,0
"N00001097",316,316,0
"N00001098",308,308,0
"N00001099",282,282,0
"N00001100",292,292,0
"N00001101",304,304,0
"N00001102",569,569,0
"N00001103",219,219,0
"N00001104",303,303,0
"N00001105",309,309,0
"N00001106",283,283,0
"N00001107",309,309,0
"N00001108",217,217,0
"N00001109",393,393,0
"N00001110",345,345,0
"N00001111",687,687,0
"N00001112",319,319,0
"N00001113",1384,1384,0
"N00001114",319,319,0
"N00001115",222,222,0
"N00001116",497,497,0
"N00001117",728,728,0
"N00001118",305,247,58
"N00001119",176,176,0
"N00001120",213,213,0
"N00001121",235,235,0
"N00001122",176,176,0
"N00001123",186,186,0
"N00001124",568,568,0
"N00001125",413,413,0
"N00001126",242,242,0
"N00001127",639,639,0
"N00001128",251,251,0
"N00001129",450,450,0
"N00001130",179,179,0
"N00001131",1073,964,109
"N00001132",251,251,0
"N00001133",643,643,0
"N00001134",212,212,0
"N00001135",188,188,0
"N00001136",261,261,0
"N00001137",292,292,0
"N00001138",195,195,0
"N00001139",546,546,0
"N00001140",309,309,0
"N00001141",189,189,0
"N00001142",190,190,0
"N00001143",140,140,0
"N00001144",233,233,0
"N00001145",311,296,15
"N00001146",291,291,0
"N00001147",258,258,0
"N00001148",260,260,0
"N00001149",377,377,0
"N00001150",334,334,0
"N00001151",390,390,0
"N00001152",419,381,38
"N00001153",316,316,0
"N00001154",293,278,15
"N00001155",636,603,33
"N00001156",1299,1295,4
"N00001157",280,280,0
